Site,C.flexuosum,C.maschalocarpum,E.radiata,M.pyrifera,U.pinnatifida
BP01,0,0,2.983153491,0.485507816,0
BP02,0,0.810930216,2.505525937,0,0
BP03,0,2.26436388,4.014128228,0.117783036,0
BP05,0,0.117783036,2.431417965,0.890972924,0
BP06,0,0,0.117783036,3.586985146,0
BP08,0,0.060624622,2.315007613,0,0
BP10,0.271933715,2.34540509,0,0.83832919,0
BP13,0,0,3.305053521,0,0
BP14,0,0,3.698210782,0.594707108,0
LH01,0,0,2.555287447,1.386294361,0.117783036
LH02,0,0,3.49271249,2.140066163,0.628608659
LH07,1.981001469,0.318453731,3.014308659,0.810930216,0
LH10,0,0,3.413619902,0.223143551,0
PB02,0,0,3.522677279,3.530030254,0
PB03,0,0,3.49271249,1.47590652,0
PB10,1.252762968,1.178654996,2.621038824,0,0
PB11,0,0.693147181,3.32773023,0.171850257,0
PL02,0,0,3.772760938,2.602689685,0
PL03,0,0,3.157000421,1.056052674,0
PL14,0,0,3.548179572,0,0.117783036
PL16,0,0,3.453947947,1.584120104,0
